Month,Sales,Expenses,Customers,InventoryCost,MarketingSpend
Jan-21,420000,270000,165,105000,24000
Feb-21,400000,280000,158,108000,22000
Mar-21,445000,275000,175,110000,28000
Apr-21,510000,295000,205,118000,33000
May-21,475000,285000,192,114000,31000
Jun-21,390000,310000,155,122000,20000
Jul-21,530000,300000,215,116000,35000
Aug-21,495000,292000,200,119000,32000
Sep-21,520000,305000,210,117000,34000
Oct-21,505000,298000,205,118000,33000
Nov-21,560000,315000,225,123000,38000
Dec-21,610000,330000,248,128000,45000
Jan-22,445000,285000,178,112000,26000
Feb-22,425000,295000,168,115000,24000
Mar-22,470000,288000,188,117000,30000
Apr-22,555000,315000,228,130000,37000
May-22,510000,305000,210,126000,34000
Jun-22,415000,335000,165,135000,22000
Jul-22,570000,325000,238,128000,38000
Aug-22,535000,318000,220,132000,36000
Sep-22,560000,330000,233,130000,37000
Oct-22,545000,322000,226,129000,36000
Nov-22,600000,338000,244,134000,41000
Dec-22,660000,355000,270,140000,49000
Jan-23,500000,300000,200,120000,30000
Feb-23,480000,320000,190,130000,28000
Mar-23,520000,310000,210,125000,35000
Apr-23,600000,340000,250,140000,40000
May-23,550000,330000,230,135000,37000
Jun-23,450000,360000,180,145000,25000
Jul-23,620000,350000,260,138000,42000
Aug-23,580000,340000,240,142000,39000
Sep-23,610000,355000,255,140000,41000
Oct-23,590000,345000,245,139000,38000
Nov-23,645000,360000,265,145000,44000
Dec-23,710000,378000,292,152000,53000
Jan-24,530000,315000,212,127000,32000
Feb-24,508000,332000,202,134000,30000
Mar-24,548000,322000,222,130000,37000
Apr-24,632000,355000,264,147000,43000
May-24,580000,344000,243,142000,40000
Jun-24,478000,372000,192,152000,27000
Jul-24,652000,365000,274,145000,45000
Aug-24,610000,354000,253,149000,42000
Sep-24,642000,368000,268,147000,44000
Oct-24,622000,358000,258,146000,41000
Nov-24,678000,374000,278,152000,47000
Dec-24,745000,394000,308,160000,57000
